geom_type,lon,lat,@id,admin_level,admin_name,amenity,boat_rental,cargo,ferry_stop_id,name,notes,operational_status,operator,operator_name,public_transport,source:name,source_date,addr:street,alt_name,ferry,@geometry,website,building,source,check_date,wheelchair,amenity:note,boat:rental,survey:date,operator:name,description
Point,3.243437,6.4090813,node/13774167514,6,amuwo odofin,ferry_terminal,true,passengers,93,koko beach,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2595354,6.407407,node/13774167519,6,amuwo odofin,ferry_terminal,true,passengers,114,olu landing,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.1529773,6.4244662,node/13774168013,6,ojo,ferry_terminal,true,passengers,81,irewe ojo,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2018972,6.563707,node/13774168058,6,alimosho,ferry_terminal,true,passengers,71,ijon,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.6054642,6.5151532,node/13774168076,6,eti osa,ferry_terminal,true,passengers,8,badore jetty (tarzan),admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2353653,6.428666,node/13774168149,6,amuwo odofin,ferry_terminal,true,passengers,80,irede,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.4271794,6.4420945,node/13774168421,6,Eti_Osa,ferry_terminal,true,passengers,2,Five Cowries/Falomo (VI),admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry terminal with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.3702848,6.4345359,node/13774168455,,,ferry_terminal,,,,Allens Unit/Alex Apapa,,,,,,,,,,,,,,,,,,,,,
Point,3.3733952,6.431068,node/13774168464,6,apapa,ferry_terminal,false,passengers,91,kabakaba,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3709107,6.429987,node/13774168466,6,apapa,ferry_terminal,false,passengers,99,manager,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
