geom_type,lon,lat,@id,bridge,highway,layer,name,oneway,ref,@geometry,lanes,maxspeed,surface,alt_name,source,maxweight:signed,sidewalk:left,sidewalk:right,bicycle,foot,incline,motor_vehicle,axle_load,bridge:name,electrified,frequency,gauge,highspeed,loading_gauge,metre_load,operator,operator:short,operator:wikidata,passenger_lines,railway,railway:atc,railway:ballastless,railway:ebicab,railway:etcs,railway:radio,railway:tilting,railway:track_class,railway:traffic_mode,source:maxspeed,source:maxspeed:date,start_date,tracks,usage,voltage,wikidata,wikipedia,tracktype,width,handrail,ramp,step_count,tactile_paving,lanes:backward,lanes:forward,smoothness,destination,service,boat,waterway,lit,destination:street,destination:ref,access,is_in,nat_ref,lane_markings,int_ref,note,tourism,old_ref,sidewalk:both,footway,fixme,maxspeed:backward,ford,construction:electrified,covered,construction,construction:railway,hgv,psv,junction,sidewalk,aeroway,level,area:highway,embankment,barrier,description
Point,-8.6983304,37.1362709,way/84994312,yes,tertiary,1,,,,center,2,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7177797,37.150697,way/84994314,yes,tertiary,1,,,EM 535,center,1,,asphalt,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6915125,37.1279968,way/84994315,yes,unclassified,1,,,,center,1,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3862002,6.4641758,way/87805666,yes,secondary,1,Cater Bridge,yes,A5,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.39532,6.4610385,way/88260932,yes,motorway_link,1,,yes,F264,center,2,,asphalt,Lagos Island Inner Ring Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3968556,6.4619081,way/88260974,yes,motorway_link,1,,yes,,center,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4180689,6.4618573,way/88669561,yes,primary_link,1,,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4201966,6.4625264,way/88669581,yes,primary_link,1,,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ikoyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4186353,6.4630032,way/88669599,yes,primary_link,1,,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4190622,6.4620131,way/88669617,yes,primary_link,1,,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4088114,6.4563681,way/88669623,yes,motorway_link,1,,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4188095,6.4638317,way/88669628,yes,primary_link,1,,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.4066251,6.4557658,way/88669648,yes,primary,1,,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3965315,6.5558477,way/88681160,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3830393,6.5936218,way/88683342,yes,motorway,1,Lagos-Ibadan Expressway,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3981284,6.5455378,way/88683344,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.396788,6.4594687,way/88683345,yes,motorway_link,1,,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3967809,6.5518941,way/88683361,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3829026,6.593438,way/88683362,yes,motorway,1,Lagos-Ibadan Expressway,yes,,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3654673,6.4839224,way/89929130,yes,motorway,2,Apapa Road,yes,A1,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3540656,6.4685435,way/90288326,yes,unclassified,1,,,,center,,,unpaved,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3504775,6.4729386,way/90288373,yes,secondary,1,Iganmu Road,yes,,center,,,paved,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6880024,37.0858263,way/92113862,yes,pedestrian,1,,,,center,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.3014999,6.4857525,way/92439806,yes,secondary,1,Ago Okota Expressway,yes,,center,,,,,BING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.2991116,6.4674159,way/92439807,yes,secondary,1,New Festac Bridge Road,yes,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.333744,6.4787277,way/92451074,yes,unclassified,1,Bale Street,,,center,,,unpaved,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6805551,37.1110527,way/93119693,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
