geom_type,lon,lat,@id,barrier,historic,@geometry,building,man_made,tower:type,alt_name,amenity,denomination,heritage,heritage:operator,heritage:ref,heritage:website,heritage:website:sipa,name,protection_title,ref:dgpc,ref:ipa,religion,site_status,source:ref,wikidata,wikimedia_commons,wikipedia,addr:housenumber,addr:street,check_date,contact:facebook,contact:instagram,contact:twitter,fee,opening_hours,phone,tourism,website,stars,addr:housename,name:en,addr:city,addr:postcode,air_conditioning,description,guest_house,internet_access,operator,reservation,rooms,disused:railway,note,contact:phone,contact:website,landuse,name:de,bar,brand,brand:wikidata,email,image,internet_access:fee,payment:credit_cards,payment:debit_cards,smoking,source,wheelchair,tents,caravans,drinking_water,power_supply,sanitary_dump_station,shower,toilets,access,leisure,zoo,bridge,highway,layer,parking,height,check_date:internet_access,geological,geological:site,natural,official_name,place,breakfast,swimming_pool,related_law,short_protection_title,building:part,name:zh,brand:wikipedia,start_date,building:levels,elevator,park_ride,supervised,surface,addr:country,addr:state,payment:american_express,payment:cash,payment:cheque,payment:mastercard,payment:visa,shop,castle_type,fireplace,information,map_size,addr:unit,contact:email,contact:fax,contact:mobile,archaeological_site,historic:civilization,historic:period,ruins,heritage:since,heritage:website:arqueologia,ref:cns,artist_name,artwork_type,direction,name:pt,url,internet_access:ssid,artist:wikidata,material,memorial,subject:wikidata,area,fortification_type,payment:diners_club,payment:discover_card,payment:maestro,payment:visa_electron,inscription,bicycle,map_type,network,wreck,seamark:type,sport,guidepost,hiking,marker_type,ref,addr:place,fax,route_marker,attached_to,guide_type,location,disused,charge,fixme,name:nl,board_type,historic:era,megalith_type,ele,survey:date,outdoor_seating,name:hu,designation,field,attraction,public_transport,museum,bench,bin,lit,shelter,tactile_paving,subject:name,subject:wikipedia,support,facility_manager,source:position,status,facility_use,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,camp_site,check_date:currency:XBT,currency:XBT,dog,payment:lightning,payment:lightning_contactless,payment:onchain,picnic_table,static_caravans,not:name,short_name,accommodation
Point,-8.6708148,37.108724,way/93136352,,railway,center,yes,,,,,,,,,,,Antigua galpão ferroviário,,,,,,,,,,,Estrada de São Roque,,,,,,,,,,,,Old Train Depot,Lagos,,,,,,,,,engine_shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6693871,37.0992838,way/93158518,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6473467,37.1174693,way/94750303,city_wall,fort,center,,,,Forte de São Roque de Lagos;Forte de São Roque,,,2,dgpc,MIP,https://servicos.dgpc.gov.pt/pesquisapatrimonioimovel/detalhes.php?code=70084,http://monumentos.pt/Site/APP_PagesUser/SIPA.aspx?id=2840,Forte da Meia Praia,Monumento de Interesse Público,70084,2840,,Classificado,https://dre.pt/application/file/66734714,Q10283728,,pt:Forte da Meia Praia,,,,,,,,,,attraction,,,,,,,,,,,Guarda Nacional Repúblicana (Antiga Guarda Fiscal),,,,Info: https://servicos.dgpc.gov.pt/pesquisapatrimonioimovel/detalhes.php?code=70084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.676625,37.0893679,way/94840403,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.673635,37.0943697,way/95029170,,,center,yes,,,,,,,,,,,Aqualuz Suite Hotel Apartamentos,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.673063,37.0943896,way/95029174,,,center,yes,,,,,,,,,,,Aqualuz Suite Hotel Apartamentos,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6734681,37.0948563,way/95029176,,,center,yes,,,,,,,,,,,Aqualuz Suite Hotel Apartamentos,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6810586,37.1073,way/95666884,,,center,yes,,,,,,,,,,,Casa Afonso,,,,,,,,,,,,,,,,,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7000494,37.184664,way/95671943,,,center,,,,,,,,,,,,Monte da Bravura Green Resort,,,,,,,,,,,Cortifo,,,,,,,,hotel,,,,,Bensafrim,8600-077,,,,,,,,,,+351282688175,http://www.montedabravura.com/,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.671213,37.1006198,way/96585011,,house,center,house,,,,,,,,,,,Antigo Mercado dos Escravos,,,,,,,,,,,,2026-04-16,,,,yes,"Mo,PH off; Tu-Su 10:00-13:00,14:00-18:00",,museum,https://www.goodtimeslagos.com/slave-market/,,,Anciente Slave Market,,,,,,,,,,,,,,,Sklavenmarkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
